CustomerID,MonthlyCharges,TotalCharges
7590-VHVEG,29.85,29.85
5575-GNVDE,56.95,1889.5
3668-QPYBK,53.85,108.15
7795-CFOCW,42.3,1840.75
9237-HQITU,70.7,151.65
9305-CDSKC,99.65,820.5
1452-KIOVK,89.1,1949.4
6713-OKOMC,29.75,301.9
7892-POOKP,104.8,3046.05
6388-TABGU,56.15,3487.95
9763-GRSKD,49.95,587.45
7469-LKBCI,18.95,326.8
8091-TTVAX,100.35,5681.1
0280-XJGEX,103.7,5036.3
5129-JLPIS,105.5,2686.05
3655-SNQYZ,113.25,7895.15
8191-XWSZG,20.65,1022.95
9959-WOFKT,106.7,7382.25
4190-MFLUW,55.2,528.35
4183-MYFRB,90.05,1862.9
8779-QRDMV,39.65,39.65
1680-VDCWW,19.8,202.25
1066-JKSGK,20.15,20.15
3638-WEABW,59.9,3505.1
6322-HRPFA,59.6,2970.3
6865-JZNKO,55.3,1530.6
6467-CHFZW,99.35,4749.15
8665-UTDHZ,30.2,30.2
5248-YGIJN,90.25,6369.45
8773-HHUOZ,64.7,1093.1
3841-NFECX,96.35,6766.95
4929-XIHVW,95.5,181.65
6827-IEAUQ,66.15,1874.45
7310-EGVHZ,20.2,20.2
3413-BMNZE,45.25,45.25
6234-RAAPL,99.9,7251.7
6047-YHPVI,69.7,316.9
6572-ADKRS,74.8,3548.3
5380-WJKOV,106.35,3549.25
8168-UQWWF,97.85,1105.4
8865-TNMNX,49.55,475.7
9489-DEDVP,69.2,4872.35
9867-JCZSP,20.75,418.25
4671-VJLCL,79.85,4861.45
4080-IIARD,76.2,981.45
3714-NTNFO,84.5,3906.7
5948-UJZLF,49.25,97.0
7760-OYPDY,80.65,144.15
7639-LIAYI,79.75,4217.8
2954-PIBKO,64.15,4254.1
8012-SOUDQ,90.25,3838.75
9420-LOJKX,99.1,1426.4
6575-SUVOI,69.5,1752.65
7495-OOKFY,80.65,633.3
4667-QONEA,74.85,4456.35
1658-BYGOY,95.45,1752.55
8769-KKTPH,99.65,6311.2
5067-XJQFU,108.45,7076.35
3957-SQXML,24.95,894.3
5954-BDFSG,107.5,7853.7
0434-CSFON,100.5,4707.1
1215-FIGMP,89.9,5450.7
0526-SXDJP,42.1,2962.0
0557-ASKVU,54.4,957.1
5698-BQJOH,94.4,857.25
5122-CYFXA,75.3,244.1
8627-ZYGSZ,78.9,3650.35
3410-YOQBQ,79.2,2497.2
3170-NMYVV,20.15,930.9
7410-OIEDU,79.85,887.35
2273-QCKXA,49.05,49.05
0731-EBJQB,20.4,1090.65
1891-QRQSA,111.6,7099.0
8028-PNXHQ,24.25,1424.6
5630-AHZIL,64.5,177.4
2673-CXQEU,110.5,6139.5
6416-JNVRK,55.65,2688.85
5590-ZSKRV,54.65,482.25
0191-ZHSKZ,74.75,2111.3
3887-PBQAO,25.9,1216.6
5919-TMRGD,79.35,79.35
8108-UXRQN,50.55,565.35
9191-MYQKX,75.15,496.9
9919-YLNNG,103.8,4327.5
0318-ZOPWS,20.15,973.35
4445-ZJNMU,99.3,918.75
4808-YNLEU,62.15,2215.45
1862-QRWPE,20.65,1057.0
2796-NNUFI,19.95,927.1
3016-KSVCP,33.75,1009.25
4767-HZZHQ,82.05,2570.2
2424-WVHPL,74.7,74.7
7233-PAHHL,84.0,5714.25
6067-NGCEU,111.05,7107.0
9848-JQJTX,100.9,7459.05
8637-XJIVR,78.95,927.35
9803-FTJCG,66.85,4748.7
0278-YXOOG,21.05,113.85
3212-KXOCR,21.0,1107.2
4598-XLKNJ,98.5,2514.5
6380-ARCEH,20.2,20.2
3679-XASPY,19.45,19.45
7123-WQUHX,95.0,3605.6
5386-THSLQ,45.55,3027.25
3192-NQECA,110.0,7611.85
6180-YBIQI,24.3,100.2
6728-DKUCO,104.15,7303.05
9750-BOOHV,30.15,927.65
8597-CWYHH,94.35,3921.3
2848-YXSMW,19.4,1363.25
0486-HECZI,96.75,5238.9
4549-ZDQYY,57.95,3042.25
5712-AHQNN,91.65,3954.1
4846-WHAFZ,76.5,2868.15
5256-SKJGO,54.6,3423.5
3071-VBYPO,89.85,248.4
9560-BBZXK,31.05,1126.35
5299-RULOA,100.25,1064.65
8402-OOOHJ,20.65,835.15
9445-ZUEQE,85.2,2151.6
1091-SOZGA,99.8,5515.45
2928-HLDBA,20.7,112.75
0404-SWRVG,74.4,229.55
6497-TILVL,50.7,350.35
7219-TLZHO,20.85,62.9
4622-YNKIJ,88.95,3027.65
4412-YLTKF,78.05,2135.5
6734-PSBAW,23.55,1723.95
3930-ZGWVE,19.75,19.75
2639-UGMAZ,56.45,3985.35
2876-GZYZC,85.95,1215.65
6207-WIOLX,58.6,1502.65
8587-XYZSF,50.55,3260.1
3091-FYHKI,35.45,35.45
2372-HWUHI,44.35,81.25
7799-LGRDP,25.7,1188.2
7850-VWJUU,75.0,1778.5
3774-VBNXY,20.2,1277.75
6217-KDYWC,19.6,1170.55
0390-DCFDQ,70.45,70.45
3146-MSEGF,88.05,6425.65
4080-OGPJL,71.15,563.65
1095-WGNGG,101.05,5971.25
2636-SJDOU,84.3,5289.05
1131-QQZEB,23.95,1756.2
5716-EZXZN,99.05,6416.7
6837-BJYDQ,19.6,61.35
2135-RXIHG,45.65,45.65
6440-DKQGE,64.5,1929.95
3466-BYAVD,69.5,1071.4
3780-YVMFA,68.55,564.35
3874-EQOEP,95.0,655.5
1679-JRFBR,108.15,7930.55
9073-ZZIAY,86.1,5215.25
3077-RSNTJ,19.7,113.5
6551-GNYDG,80.9,1152.8
9167-APMXZ,84.15,1821.95
2749-CTKAJ,20.15,419.9
6371-NZYEG,64.25,1024.0
7554-NEWDD,25.7,251.6
8992-VONJD,56.0,764.55
0867-MKZVY,82.4,1592.35
4482-EWFMI,69.7,135.2
4648-YPBTM,73.9,3958.25
2907-ILJBN,20.6,233.9
6345-FZOQH,19.9,1363.45
3376-BMGFE,70.9,273.0
5997-OPVFA,89.05,6254.45
3445-HXXGF,45.3,2651.2
1159-WFSGR,20.4,321.4
7654-YWJUF,84.25,3539.25
1875-QIVME,104.4,242.8
6727-IOTLZ,81.95,1181.75
0691-JVSYA,94.85,5000.2
5918-VUKWP,20.55,654.55
1744-JHKYS,24.7,780.2
2656-FMOKZ,74.45,1145.7
2070-FNEXE,76.45,503.6
5947-SGKCL,105.35,1559.25
3712-PKXZA,20.55,1252.0
6317-YPKDH,29.95,29.95
6582-OIVSP,45.3,45.3
9367-WXLCH,84.5,662.65
5524-KHNJP,74.75,2453.3
1918-ZBFQJ,79.25,1111.65
1024-GUALD,24.8,24.8
4827-USJHP,51.8,1023.85
8167-GJLRN,30.4,82.15
0956-SYCWG,19.65,244.8
8017-UVSZU,56.6,2379.1
7100-FQPRV,71.9,3173.35
2472-OVKUP,91.0,531.0
2984-RGEYA,19.75,1375.4
9680-NIAUV,109.7,8129.3
2146-EGVDT,19.3,1192.7
2604-IJPDU,96.55,1901.65
9178-JHUVJ,24.1,587.4
6168-YBYNP,111.35,6519.75
7255-SSFBC,112.25,8041.65
3645-DEYGF,20.75,20.75
9323-HGFWY,101.9,2681.15
8544-GOQSH,80.05,1112.3
3363-DTIVD,105.55,7405.5
7018-WBJNK,78.3,1033.95
9142-KZXOP,68.85,2958.95
7674-YTAFD,79.95,2684.85
6348-SNFUS,55.45,4179.2
1285-OKIPP,79.9,79.9
7825-ECJRF,106.6,1934.45
1347-KTTTA,102.45,6654.1
7841-TZDMQ,46.0,84.5
4195-NZGTA,25.25,25.25
7157-SMCFK,19.75,1124.2
4709-LKHYG,20.0,540.05
2504-DSHIH,86.8,1975.85
0699-NDKJM,58.75,3437.45
9286-BHDQG,45.25,3139.8
0230-WEQUW,56.6,3789.2
2040-LDIWQ,84.2,5324.5
