CustomerID,PhoneService,MultipleLines
7590-VHVEG,No,No phone service
5575-GNVDE,Yes,No
3668-QPYBK,Yes,No
7795-CFOCW,No,No phone service
9237-HQITU,Yes,No
9305-CDSKC,Yes,Yes
1452-KIOVK,Yes,Yes
6713-OKOMC,No,No phone service
7892-POOKP,Yes,Yes
6388-TABGU,Yes,No
9763-GRSKD,Yes,No
7469-LKBCI,Yes,No
8091-TTVAX,Yes,Yes
0280-XJGEX,Yes,Yes
5129-JLPIS,Yes,No
3655-SNQYZ,Yes,Yes
8191-XWSZG,Yes,No
9959-WOFKT,Yes,Yes
4190-MFLUW,Yes,No
4183-MYFRB,Yes,No
8779-QRDMV,No,No phone service
1680-VDCWW,Yes,No
1066-JKSGK,Yes,No
3638-WEABW,Yes,Yes
6322-HRPFA,Yes,No
6865-JZNKO,Yes,No
6467-CHFZW,Yes,Yes
8665-UTDHZ,No,No phone service
5248-YGIJN,Yes,Yes
8773-HHUOZ,Yes,No
3841-NFECX,Yes,Yes
4929-XIHVW,Yes,No
6827-IEAUQ,Yes,No
7310-EGVHZ,Yes,No
3413-BMNZE,Yes,No
6234-RAAPL,Yes,Yes
6047-YHPVI,Yes,No
6572-ADKRS,Yes,No
5380-WJKOV,Yes,Yes
8168-UQWWF,Yes,Yes
8865-TNMNX,Yes,No
9489-DEDVP,Yes,Yes
9867-JCZSP,Yes,No
4671-VJLCL,Yes,Yes
4080-IIARD,Yes,Yes
3714-NTNFO,Yes,Yes
5948-UJZLF,Yes,No
7760-OYPDY,Yes,No
7639-LIAYI,Yes,Yes
2954-PIBKO,Yes,Yes
8012-SOUDQ,Yes,Yes
9420-LOJKX,Yes,No
6575-SUVOI,Yes,Yes
7495-OOKFY,Yes,Yes
4667-QONEA,Yes,No
1658-BYGOY,Yes,Yes
8769-KKTPH,Yes,Yes
5067-XJQFU,Yes,Yes
3957-SQXML,Yes,Yes
5954-BDFSG,Yes,Yes
0434-CSFON,Yes,Yes
1215-FIGMP,Yes,Yes
0526-SXDJP,No,No phone service
0557-ASKVU,Yes,No
5698-BQJOH,Yes,Yes
5122-CYFXA,Yes,No
8627-ZYGSZ,Yes,Yes
3410-YOQBQ,Yes,No
3170-NMYVV,Yes,No
7410-OIEDU,Yes,No
2273-QCKXA,Yes,No
0731-EBJQB,Yes,No
1891-QRQSA,Yes,Yes
8028-PNXHQ,Yes,Yes
5630-AHZIL,Yes,No
2673-CXQEU,Yes,Yes
6416-JNVRK,Yes,No
5590-ZSKRV,Yes,No
0191-ZHSKZ,Yes,No
3887-PBQAO,Yes,Yes
5919-TMRGD,Yes,No
8108-UXRQN,No,No phone service
9191-MYQKX,Yes,No
9919-YLNNG,Yes,No
0318-ZOPWS,Yes,No
4445-ZJNMU,Yes,Yes
4808-YNLEU,Yes,No
1862-QRWPE,Yes,No
2796-NNUFI,Yes,No
3016-KSVCP,No,No phone service
4767-HZZHQ,Yes,No
2424-WVHPL,Yes,No
7233-PAHHL,Yes,Yes
6067-NGCEU,Yes,Yes
9848-JQJTX,Yes,Yes
8637-XJIVR,Yes,Yes
9803-FTJCG,Yes,Yes
0278-YXOOG,Yes,No
3212-KXOCR,Yes,No
4598-XLKNJ,Yes,No
6380-ARCEH,Yes,No
3679-XASPY,Yes,No
7123-WQUHX,Yes,Yes
5386-THSLQ,No,No phone service
3192-NQECA,Yes,Yes
6180-YBIQI,No,No phone service
6728-DKUCO,Yes,Yes
9750-BOOHV,No,No phone service
8597-CWYHH,Yes,Yes
2848-YXSMW,Yes,No
0486-HECZI,Yes,Yes
4549-ZDQYY,Yes,No
5712-AHQNN,Yes,No
4846-WHAFZ,Yes,Yes
5256-SKJGO,No,No phone service
3071-VBYPO,Yes,No
9560-BBZXK,No,No phone service
5299-RULOA,Yes,Yes
8402-OOOHJ,Yes,No
9445-ZUEQE,Yes,Yes
1091-SOZGA,Yes,Yes
2928-HLDBA,Yes,No
0404-SWRVG,Yes,Yes
6497-TILVL,Yes,No
7219-TLZHO,Yes,No
4622-YNKIJ,Yes,No
4412-YLTKF,Yes,Yes
6734-PSBAW,Yes,Yes
3930-ZGWVE,Yes,No
2639-UGMAZ,No,No phone service
2876-GZYZC,Yes,Yes
6207-WIOLX,No,No phone service
8587-XYZSF,Yes,No
3091-FYHKI,No,No phone service
2372-HWUHI,Yes,No
7799-LGRDP,Yes,Yes
7850-VWJUU,Yes,No
3774-VBNXY,Yes,No
6217-KDYWC,Yes,No
0390-DCFDQ,Yes,No
3146-MSEGF,Yes,Yes
4080-OGPJL,Yes,Yes
1095-WGNGG,Yes,Yes
2636-SJDOU,Yes,Yes
1131-QQZEB,Yes,Yes
5716-EZXZN,Yes,Yes
6837-BJYDQ,Yes,No
2135-RXIHG,Yes,No
6440-DKQGE,Yes,No
3466-BYAVD,Yes,No
3780-YVMFA,Yes,No
3874-EQOEP,Yes,Yes
1679-JRFBR,Yes,Yes
9073-ZZIAY,Yes,No
3077-RSNTJ,Yes,No
6551-GNYDG,Yes,No
9167-APMXZ,Yes,Yes
2749-CTKAJ,Yes,No
6371-NZYEG,Yes,No
7554-NEWDD,Yes,Yes
8992-VONJD,Yes,No
0867-MKZVY,Yes,Yes
4482-EWFMI,Yes,No
4648-YPBTM,Yes,Yes
2907-ILJBN,Yes,No
6345-FZOQH,Yes,No
3376-BMGFE,Yes,No
5997-OPVFA,Yes,Yes
3445-HXXGF,No,No phone service
1159-WFSGR,Yes,No
7654-YWJUF,Yes,No
1875-QIVME,Yes,Yes
6727-IOTLZ,Yes,No
0691-JVSYA,Yes,No
5918-VUKWP,Yes,No
1744-JHKYS,Yes,Yes
2656-FMOKZ,Yes,Yes
