customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_Fiber optic,InternetService_No
7590-VHVEG,Female,,1,0,0.013888888888888888,No,No phone service,No,Yes,No,No,No,No,Yes,0.11542288557213931,0.001275098084468036,0,False,False,False,True,False,False,False
5575-GNVDE,Male,,0,0,0.4722222222222222,Yes,No,Yes,No,Yes,No,No,No,No,0.3850746268656716,0.21586660512347106,0,True,False,False,False,True,False,False
3668-QPYBK,Male,,0,0,0.027777777777777776,Yes,No,Yes,Yes,No,No,No,No,Yes,0.35422885572139307,0.010310408492960998,1,False,False,False,False,True,False,False
7795-CFOCW,Male,,0,0,0.625,No,No phone service,Yes,No,Yes,Yes,No,No,No,0.23930348258706463,0.21024117239787676,0,True,False,False,False,False,False,False
9237-HQITU,Female,,0,0,0.027777777777777776,Yes,No,No,No,No,No,No,No,Yes,0.5218905472636816,0.015330025386568198,1,False,False,False,True,False,True,False
9305-CDSKC,Female,,0,0,0.1111111111111111,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,0.8099502487562189,0.09251096238172168,1,False,False,False,True,False,True,False
1452-KIOVK,Male,,0,1,0.3055555555555555,Yes,Yes,No,Yes,No,No,Yes,No,Yes,0.7049751243781094,0.22277867528271408,0,False,False,True,False,False,True,False
6713-OKOMC,Female,,0,0,0.1388888888888889,No,No phone service,Yes,No,No,No,No,No,No,0.11442786069651739,0.032667897530579276,0,False,False,False,False,True,False,False
7892-POOKP,Female,,1,0,0.38888888888888884,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,0.8611940298507462,0.3493249480729287,1,False,False,False,True,False,True,False
6388-TABGU,Male,,0,1,0.861111111111111,Yes,No,Yes,Yes,No,No,No,No,No,0.3771144278606965,0.4003173321024694,0,True,False,False,False,False,False,False
9763-GRSKD,Male,,1,1,0.18055555555555555,Yes,No,Yes,No,No,No,No,No,Yes,0.3154228855721393,0.06561850911608587,0,False,False,False,False,True,False,False
7469-LKBCI,Male,,0,0,0.2222222222222222,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,0.006965174129353213,0.035541195476575124,0,False,True,True,False,False,False,True
8091-TTVAX,Male,,1,0,0.8055555555555555,Yes,Yes,No,No,Yes,No,Yes,Yes,No,0.8169154228855721,0.6533925686591276,0,True,False,True,False,False,True,False
0280-XJGEX,Male,,0,0,0.6805555555555555,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,0.8502487562189055,0.578986845141934,1,False,False,False,False,False,True,False
5129-JLPIS,Male,,0,0,0.3472222222222222,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,0.8681592039800995,0.30778329102238633,0,False,False,False,True,False,True,False
3655-SNQYZ,Female,,1,1,0.9583333333333333,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.945273631840796,0.9088795291945534,0,False,True,True,False,False,True,False
8191-XWSZG,Female,,0,0,0.7222222222222222,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,0.023880597014925342,0.11587237479806141,0,True,False,False,False,True,False,True
9959-WOFKT,Male,,0,1,0.986111111111111,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,0.8800995024875623,0.8496942072467113,0,False,True,False,False,False,True,False
4190-MFLUW,Female,,1,1,0.1388888888888889,Yes,No,No,No,Yes,Yes,No,No,No,0.36766169154228856,0.05879875375028849,1,False,False,True,False,False,False,False
4183-MYFRB,Female,,0,0,0.29166666666666663,Yes,No,No,Yes,Yes,No,No,Yes,Yes,0.7144278606965173,0.2127971382414032,0,False,False,False,True,False,True,False
8779-QRDMV,Male,,0,0,0.013888888888888888,No,No phone service,No,No,Yes,No,No,Yes,Yes,0.21293532338308457,0.0024059543041772442,1,False,False,False,True,False,False,False
